timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-08-25,115.59,115.99,115.0,115.57,115.57,3881496,0.0000,1.0
2021-08-24,115.39,115.85,114.94,115.08,115.08,3447343,0.0000,1.0
2021-08-23,114.71,115.46,114.71,115.15,115.15,4235113,0.0000,1.0
2021-08-20,113.98,115.0,113.66,114.63,114.63,3486323,0.0000,1.0
2021-08-19,114.51,115.0689,113.61,114.32,114.32,5317417,0.0000,1.0
2021-08-18,116.28,116.735,115.6,115.68,115.68,4520484,0.0000,1.0
2021-08-17,116.62,116.94,115.56,116.57,116.57,4719788,0.0000,1.0
2021-08-16,116.6932,117.73,116.41,117.54,117.54,5976599,0.0000,1.0
2021-08-13,115.94,116.83,115.4,116.76,116.76,4357052,0.0000,1.0
2021-08-12,116.41,116.78,115.51,115.75,115.75,4358487,0.0000,1.0
2021-08-11,116.34,117.285,115.9,116.5,116.5,6472318,0.4500,1.0
2021-08-10,118.39,118.5,115.98,116.39,115.942154767,9839675,0.0000,1.0
2021-08-09,118.99,119.02,117.75,117.94,117.48619068,4557888,0.0000,1.0
2021-08-06,119.14,119.21,118.08,119.05,118.591919624,6832572,0.0000,1.0
2021-08-05,118.72,119.09,118.11,119.03,118.57199658,4281905,0.0000,1.0
2021-08-04,119.13,119.21,117.57,118.25,117.794997862,6675845,0.0000,1.0
2021-08-03,120.57,120.75,117.5201,119.13,118.6716118,6030518,0.0000,1.0
2021-08-02,122.0265,122.98,120.065,120.37,119.90684053,5996786,0.0000,1.0
2021-07-30,122.19,122.98,121.1,121.43,120.962761864,5712315,0.0000,1.0
2021-07-29,122.93,123.47,122.14,122.38,121.909106456,6282165,0.0000,1.0
2021-07-28,122.555,123.33,121.39,122.41,121.938991022,11747044,0.0000,1.0
2021-07-27,126.08,126.16,124.81,126.03,125.545061992,6110914,0.0000,1.0
2021-07-26,125.74,126.1,124.2501,126.06,125.574946558,4827462,0.0000,1.0
2021-07-23,124.55,126.32,123.92,125.97,125.48529286,7934201,0.0000,1.0
2021-07-22,119.34,122.92,119.07,122.63,122.158144506,7172344,0.0000,1.0
2021-07-21,117.54,119.65,117.48,119.27,118.811073108,4377463,0.0000,1.0
2021-07-20,115.63,118.0696,115.33,117.42,116.968191535,5118174,0.0000,1.0
2021-07-19,117.54,117.55,114.33,115.32,114.876271911,7731263,0.0000,1.0
2021-07-16,119.675,120.48,118.5,118.73,118.273150919,5024843,0.0000,1.0
2021-07-15,119.29,119.5795,118.18,118.97,118.512227448,6467481,0.0000,1.0
2021-07-14,119.94,120.825,119.68,119.8,119.339033775,5701765,0.0000,1.0
2021-07-13,118.54,119.99,118.45,119.55,119.089995725,5529344,0.0000,1.0
2021-07-12,117.75,118.775,117.39,118.46,118.004189825,5683576,0.0000,1.0
2021-07-09,116.06,117.7375,116.0,117.47,117.017999145,3533636,0.0000,1.0
2021-07-08,115.45,116.76,115.24,115.99,115.543693886,4486121,0.0000,1.0
2021-07-07,115.88,117.77,115.65,117.14,116.689268918,5382304,0.0000,1.0
2021-07-06,115.08,115.85,114.32,115.73,115.284694314,5294660,0.0000,1.0
2021-07-02,113.97,115.3,113.71,114.97,114.52761864,4723386,0.0000,1.0
2021-07-01,111.95,113.49,111.81,113.41,112.973621206,4810618,0.0000,1.0
2021-06-30,112.34,112.59,111.27,111.81,111.379777683,6759115,0.0000,1.0
2021-06-29,112.07,112.69,111.53,112.27,111.838007696,3789517,0.0000,1.0
2021-06-28,112.93,113.05,111.445,112.24,111.80812313,4546564,0.0000,1.0
2021-06-25,112.75,113.22,112.22,113.04,112.605044891,12171215,0.0000,1.0
2021-06-24,111.78,112.91,111.78,111.99,111.559085079,3840030,0.0000,1.0
2021-06-23,111.275,111.97,111.14,111.56,111.130739632,3552086,0.0000,1.0
2021-06-22,111.07,112.26,110.6,111.85,111.419623771,3583547,0.0000,1.0
2021-06-21,110.0,111.37,109.68,110.97,110.543009833,5628664,0.0000,1.0
2021-06-18,110.74,110.75,109.2615,109.7,109.277896537,7024352,0.0000,1.0
2021-06-17,111.0,111.945,110.71,111.39,110.961393758,4008537,0.0000,1.0
2021-06-16,112.42,112.57,110.2,111.36,110.931509192,4427018,0.0000,1.0
2021-06-15,112.46,112.5,111.56,111.89,111.459469859,3487317,0.0000,1.0
2021-06-14,112.78,113.225,111.5,112.45,112.017315092,4222383,0.0000,1.0
2021-06-11,112.28,112.83,112.185,112.56,112.126891834,3231182,0.0000,1.0
2021-06-10,111.8,112.43,111.4422,112.21,111.778238563,3833190,0.0000,1.0
2021-06-09,111.7358,112.19,111.33,111.39,110.961393758,3669725,0.0000,1.0
2021-06-08,111.38,111.99,110.86,111.52,111.090893544,4669852,0.0000,1.0
2021-06-07,111.98,112.2768,110.99,111.33,110.901624626,4009023,0.0000,1.0
2021-06-04,111.62,112.065,111.05,111.99,111.559085079,4477543,0.0000,1.0
2021-06-03,112.01,112.24,110.15,111.12,110.692432664,5723894,0.0000,1.0
2021-06-02,113.71,113.71,112.745,113.0,112.565198803,5044970,0.0000,1.0
2021-06-01,114.558,114.6237,113.1,113.34,112.903890552,4306926,0.0000,1.0
2021-05-28,114.35,114.35,113.05,113.88,113.44181274,4239973,0.0000,1.0
